#id	Scientific name (interpreted)	Longitude	Latitud	c1
6	Horkeliella congdonis	-118.67	37.52	JEPS96967
7	Horkeliella congdonis	-118.65	36.58	UC185381
8	Horkeliella congdonis	-118.64	37.54	UC579823
9	Horkeliella congdonis	-118.63	37.79	RSA682808
10	Horkeliella congdonis	-118.63	37.52	JEPS105269
11	Horkeliella congdonis	-118.63	37.31	UC1360421
12	Horkeliella congdonis	-118.62	37.78	UC1787123
13	Horkeliella congdonis	-118.55	37.32	RSA663840
14	Horkeliella congdonis	-118.49	37.24	UC1529076
15	Horkeliella congdonis	-118.35	37.08	UC1736389#id	Scientific name	Longitude	Latitude	GBIF portal url
1	Ivesia kingii	-119.69	40.63	http://data.gbif.org/occurrences/32305737
2	Ivesia kingii	-119.19	39.01	http://data.gbif.org/occurrences/32305734
3	Ivesia kingii	-118.87	37.91	http://data.gbif.org/occurrences/32305728
4	Ivesia kingii	-118.8	37.64	
5	Ivesia kingii	-118.78	37.71	
6	Ivesia kingii	-118.61	37.94	
7	Ivesia kingii	-118.6	37.93	
8	Ivesia kingii	-118.43	38.54	http://data.gbif.org/occurrences/32305735
9	Ivesia kingii	-117.63	37.79	http://data.gbif.org/occurrences/32305731
10	Ivesia kingii	-117.48	36.59	http://data.gbif.org/occurrences/32305727
11	Ivesia kingii	-117.03	39.95	http://data.gbif.org/occurrences/32305733
12	Ivesia kingii	-116.45	38.05	http://data.gbif.org/occurrences/32305736
13	Ivesia kingii	-116.36	39.55	http://data.gbif.org/occurrences/60131753
14	Ivesia kingii	-116.27	39.98	http://data.gbif.org/occurrences/32305732
15	Ivesia kingii	-115.35	41.13	http://data.gbif.org/occurrences/32305730
16	Ivesia kingii	-115.28	40.58	http://data.gbif.org/occurrences/60131677
17	Ivesia kingii	-114.9	39.44	http://data.gbif.org/occurrences/32305738
18	Ivesia kingii	-113.28	37.86	http://data.gbif.org/occurrences/32305742
19	Ivesia kingii	-113.23	38.34	http://data.gbif.org/occurrences/32305740
20	Ivesia kingii	-113.18	40.45	http://data.gbif.org/occurrences/32305746
21	Ivesia kingii	-112.13	38.34	http://data.gbif.org/occurrences/32305743
22	Ivesia kingii	-111.8	38.75	http://data.gbif.org/occurrences/32305745
23	Ivesia kingii	-111.58	39.37	http://data.gbif.org/occurrences/32305744
24	Ivesia kingii	-111.44	37.87	http://data.gbif.org/occurrences/32305741
